slots_used,ereg,status
{0,1,1,1,1,1,1,1,1,1},{0,1,1,1,1,1,1,1,1,1},terminating
{0,1,1,1,1,1,1,1,1,1},{5,1,1,1,1,1,1,1,1,1},terminating
{3,1,1,1,1,1,1,1,1,1},{7,1,1,1,1,1,1,1,1,1},terminating
{5,0,1,1,1,1,1,1,1,1},{0,7,1,1,1,1,1,1,1,1},terminating
{1,1,1,1,1,1,1,1,1,1},{0,0,0,5,0,0,0,0,0,0},terminating
{2,1,1,1,1,1,1,1,1,1},{1,1,1,1,1,1,1,1,1,1},terminating
{2,0,1,1,1,1,1,1,1,1},{0,1,1,1,1,1,1,1,1,1},terminating
{1,2,1,1,1,1,1,1,1,1},{0,0,0,0,0,0,0,0,0,0},terminating
{1,1,2,1,1,1,1,1,1,1},{0,0,0,0,0,0,0,0,0,0},terminating
{1,1,1,1,1,1,1,1,2,2},{0,0,0,0,0,0,0,0,0,0},terminating
