base,count,old_,new_,status
0,5,{1,0,0,0,0,0,0,0,0,0},{2,0,0,0,0,0,0,0,0,0},terminating
10,10,{5,0,0,0,0,0,0,0,0,0},{6,0,0,0,0,0,0,0,0,0},terminating
0,0,{7,0,0,0,0,0,0,0,0,0},{8,0,0,0,0,0,0,0,0,0},terminating
50,55,{1,1,1,1,1,1,1,1,1,1},{2,2,2,2,2,2,2,2,2,2},terminating
100,110,{4,4,4,4,4,4,4,4,4,4},{5,5,5,5,5,5,5,5,5,5},terminating
0,100,{1,0,0,0,0,0,0,0,0,0},{2,0,0,0,0,0,0,0,0,0},non-terminating
2,10,{9,0,0,0,0,0,0,0,0,0},{8,0,0,0,0,0,0,0,0,0},non-terminating
3,7,{5,0,0,0,0,0,0,0,0,0},{6,0,0,0,0,0,0,0,0,0},non-terminating
5,9,{7,0,0,0,0,0,0,0,0,0},{6,0,0,0,0,0,0,0,0,0},non-terminating
10,20,{4,0,0,0,0,0,0,0,0,0},{5,0,0,0,0,0,0,0,0,0},non-terminating
